Respondent ID,Collector ID,indoor_style_practice,outdoor_style_practice,I love to climb,Climbing is fun,I am motivated to climb,I feel encouraged in my climbing,I feel hindered in my climbing,I am inspired to climb by my female-identified climbing friends,I am inspired to climb by films showcasing outdoor women climbers,I am inspired to spend more time outdoors after watching films that showcase outdoor women climbers,I feel represented within the climbing community,I feel outdoor climbing guides are representative of the larger Vancouver and Squamish area,I feel welcomed in the climbing community,I feel safe in the climbing community,I feel connected to the climbing community,I feel the climbing community reflects the diversity of Vancouver and Squamish areas,I feel it is possible for anyone to progress in climbing,I find indoor climbing more accessible than outdoor climbing,I find it difficult to find the resources to go outdoor climbing,I find it difficult to find the time to go outdoor climbing,I find it difficult to find transportation to outdoor climbing,I find it difficult to find friends to go outdoor climbing with,cohort,survey
Participant 14,270298044,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,c2,s1
Participant 15,270298402,Bouldering,,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,c2,s1
Participant 16,270298402,"Bouldering,Top-rope",Bouldering,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,c2,s1
Participant 17,270298402,,,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,c2,s1
Participant 18,270298402,Top-rope,"Top-rope,Ice",Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,c2,s1
Participant 19,270298402,Bouldering,Top-rope,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,c2,s1
Participant 20,270298044,,,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,c2,s1
Participant 21,270298402,"Bouldering,Top-rope","Top-rope,Traditional",Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,c2,s1
Participant 22,270298044,Top-rope,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,NA,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,c2,s1
Participant 23,270298044,Top-rope,Top-rope,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,c2,s1
